tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0871155	tvEpisode	Episode #5.193	Episode #5.193	0	2006	\N	\N	Documentary
tt0871156	tvEpisode	Episode dated 15 March 2004	Episode dated 15 March 2004	0	2004	\N	\N	Talk-Show
tt0871157	tvEpisode	Alyson and Tommy	Alyson and Tommy	0	2005	\N	43	Documentary,Drama
tt0871158	tvEpisode	Episode #2.1	Episode #2.1	0	2005	\N	\N	Talk-Show
tt0871159	tvEpisode	Episode #2.2	Episode #2.2	0	2005	\N	\N	Talk-Show
tt0871160	tvEpisode	Episode #3.1	Episode #3.1	0	2005	\N	\N	Talk-Show
tt0871161	tvEpisode	Episode #3.10	Episode #3.10	0	2005	\N	\N	Talk-Show
tt0871162	tvEpisode	Episode #3.11	Episode #3.11	0	2005	\N	\N	Talk-Show
tt0871163	tvEpisode	Episode #3.12	Episode #3.12	0	2005	\N	\N	Talk-Show
tt0871164	tvEpisode	Episode #3.13	Episode #3.13	0	2005	\N	\N	Talk-Show
tt0871165	tvEpisode	Episode #3.14	Episode #3.14	0	2005	\N	\N	Talk-Show
tt0871166	tvEpisode	Episode #3.15	Episode #3.15	0	2005	\N	\N	Talk-Show
tt0871167	tvEpisode	Episode #3.2	Episode #3.2	0	2005	\N	\N	Talk-Show
tt0871168	tvEpisode	Episode #3.3	Episode #3.3	0	2005	\N	\N	Talk-Show
tt0871169	tvEpisode	Episode #3.4	Episode #3.4	0	2005	\N	\N	Talk-Show
tt0871170	tvEpisode	Episode #3.5	Episode #3.5	0	2005	\N	\N	Talk-Show
tt0871171	tvEpisode	Episode #3.6	Episode #3.6	0	2005	\N	\N	Talk-Show
tt0871172	tvEpisode	Episode #3.7	Episode #3.7	0	2005	\N	\N	Talk-Show
tt0871173	tvEpisode	Episode #3.8	Episode #3.8	0	2005	\N	\N	Talk-Show
tt0871174	tvEpisode	Episode #3.9	Episode #3.9	0	2005	\N	\N	Talk-Show
tt0871175	tvEpisode	Kapitel 222	Kapitel 222	0	2006	\N	\N	Drama
tt0871176	tvEpisode	Kapitel 232	Kapitel 232	0	2006	\N	\N	Drama
tt0871177	tvEpisode	Episode dated 17 April 1999	Episode dated 17 April 1999	0	1999	\N	\N	Family
tt0871178	tvEpisode	Episode dated 24 April 1999	Episode dated 24 April 1999	0	1999	\N	\N	Family
tt0871179	tvEpisode	Episode dated 22 May 1999	Episode dated 22 May 1999	0	1999	\N	\N	Family
tt0871180	tvEpisode	Episode dated 29 May 1999	Episode dated 29 May 1999	0	1999	\N	\N	Family
tt0871181	tvEpisode	Episode dated 19 June 1999	Episode dated 19 June 1999	0	1999	\N	\N	Family
tt0871182	tvEpisode	Episode dated 26 June 1999	Episode dated 26 June 1999	0	1999	\N	\N	Family
tt0871183	tvEpisode	Episode dated 3 July 1999	Episode dated 3 July 1999	0	1999	\N	\N	Family
tt0871184	tvEpisode	Episode dated 7 August 1999	Episode dated 7 August 1999	0	1999	\N	\N	Family
tt0871185	tvEpisode	Episode dated 26 February 2000	Episode dated 26 February 2000	0	2000	\N	\N	Family
tt0871186	tvEpisode	Liking Things the Way They Aren't	Liking Things the Way They Aren't	0	2005	\N	\N	Comedy,Romance
tt0871187	tvEpisode	Soupless in Seattle	Soupless in Seattle	0	2005	\N	\N	Comedy,Romance
tt0871188	tvEpisode	The Defiant Ones	The Defiant Ones	0	2005	\N	\N	Comedy,Romance
tt0871190	tvEpisode	We'll Always Have Bowling	We'll Always Have Bowling	0	2005	\N	\N	Comedy,Romance
